id,sku,name,short_description,image,price,product_link,list_price,price_usd,discount,discount_rate,review_count,order_count,inventory_status,is_visible,stock_item_qty,stock_item_max_sale_qty,product_name,brand_id,brand_name
15973974,1231755070744,Thùng 48 Hộp Sữa Nestlé Milo Ít Đường (180ml/ Hộp),BỘ SẢN PHẨM GỒM:Thùng 48 Hộp Sữa Nestlé Milo Ít Đường (180ml/ Hộp)  THÔNG TIN CHI TIẾTMILO ÍT ĐƯỜNG :THƠM NGON ĐẬM VỊ - 95% BÉ THÍCH TỪ LẦN THỬ ĐẦU TIÊN*Với công thức mới giảm 25% đường so với d...,https://salt.tikicdn.com/cache/280x280/ts/product/48/03/61/073d87a75f113993d6944bd00dff42c0.jpg,329500,,450000,,120500,27,1207,,available,,1000,1000,,33574,MILO
272635031,9722712643816,Sữa lúa mạch Nestlé MILO ÍT ĐƯỜNG - thùng 48 hộp x 110ml,BỘ SẢN PHẨM GỒM:Sữa lúa mạch Nestlé MILO ÍT ĐƯỜNG - thùng 48 hộp x 110mlTHÔNG TIN CHI TIẾTMILO ÍT ĐƯỜNG :THƠM NGON ĐẬM VỊ - 95% BÉ THÍCH TỪ LẦN THỬ ĐẦU TIÊN*Với công thức mới giảm 25% đường so với...,https://salt.tikicdn.com/cache/280x280/ts/product/a5/38/e7/5ce1d4df3273b18eba978ed3f951978f.jpg,238500,,281000,,42500,15,3,,available,,1000,1000,,33574,MILO
10240037,9798371282668,Thùng 48 Hộp Sữa Nestlé MILO Nước (180ml / Hộp),"BỘ SẢN PHẨM GỒM:Thùng 48 Hộp Sữa Nestlé MILO Nước (180ml / Hộp)  THÔNG TIN CHI TIẾTMẹ có biết, với lịch trình dày đặc đến cuối ngày, con cần nhiều sức bền hơn mẹ nghĩ. MILO là nhãn hàng sữa nước ...",https://salt.tikicdn.com/cache/280x280/ts/product/b3/2e/f1/a05653aa2e5dbe9c0515781d115277b7.jpg,338500,,450000,,111500,25,1663,,available,,1000,1000,,33574,MILO
58444508,1884990022599,Sữa Lúa Mạch Nestlé MILO Teen Protein Canxi (24 x 210ml),"Sữa Lúa Mạch Nestlé MILO Teen Protein Canxi (24 x 210ml) cho giới trẻ là sự kết hợp độc đáo của PROTOMALT - chiết xuất từ mầm lúa mạch - và tổ hợp các vitamin cùng khoáng chất thiết yếu, đóng vai trò...",https://salt.tikicdn.com/cache/280x280/ts/product/6f/a5/47/35f8d4d86e3e26d65ef766bfc9ac2fd8.jpg,224500,,285000,,60500,21,340,,available,,1000,1000,,33574,MILO
274273463,5463755579407,Thùng 48 Hộp Sữa Nestlé MILO Nước (180ml / Hộp) - không màng nhựa,"BỘ SẢN PHẨM GỒM:Sữa lúa mạch Nestlé MILO thùng 48 hộp rời x 180ml không màng nhựa (48x180ml) THÔNG TIN CHI TIẾTMILO MỚI “BỀN BỈ HƠN” TRONG PHIÊN BẢN THÙNG 48 HỘP RỜI SIÊU TIẾT KIỆMMẹ có biết, với l...",https://salt.tikicdn.com/cache/280x280/ts/product/b1/05/52/fd2fa04138dff8fdaa338445ac21b28e.jpg,332500,,412000,,79500,19,0,,available,,1000,1000,,33574,MILO
133696713,6520013377149,Dầu Đậu Nành Simply 1L/2L/5L,"Dầu Đậu Nành Simply (1L / Chai)Dầu Đậu Nành Simply (1L / Chai) là nguồn cung cấp chất béo không có cholesterol lý tưởng, đảm bảo an toàn cho sức khỏe của bạn. Dầu đậu nành cũng giúp bổ sung Omega 3, ...",https://salt.tikicdn.com/cache/280x280/media/catalog/producttmp/0a/0a/f9/3a6edb019e8eae77bc669c392e2b375f.jpg,64500,,68300,,3800,6,1539,,available,,1000,1000,,48257,Simply
10240037,9798371282668,Thùng 48 Hộp Sữa Nestlé MILO Nước (180ml / Hộp),"BỘ SẢN PHẨM GỒM:Thùng 48 Hộp Sữa Nestlé MILO Nước (180ml / Hộp)  THÔNG TIN CHI TIẾTMẹ có biết, với lịch trình dày đặc đến cuối ngày, con cần nhiều sức bền hơn mẹ nghĩ. MILO là nhãn hàng sữa nước ...",https://salt.tikicdn.com/cache/280x280/ts/product/b3/2e/f1/a05653aa2e5dbe9c0515781d115277b7.jpg,338500,,450000,,111500,25,1663,,available,,1000,1000,,33574,MILO
59504295,7915089060162,Dầu Ăn Thượng Hạng Nhãn Hiệu Neptune Light 1L/2L/5L,"Dầu Ăn Thượng Hạng Nhãn Hiệu Neptune Light giảm hấp thụ cholesterol từ thực phẩm: Không những không chứa cholesterol, dầu ăn thượng hạng Neptune Light còn giúp cơ thể giảm hấp thụ cholesterol từ thực ...",https://salt.tikicdn.com/cache/280x280/ts/product/1a/24/12/817555771df2622c11cb5c5a00e8b447.jpg,115000,,133000,,18000,14,1724,,available,,1000,1000,,48258,Neptune
912679,8223162602291,Thùng Bia Tiger 24 Lon (330ml / Lon),"Ra đời tại Singapore từ năm 1932, Tiger là nhãn hiệu bia cao cấp quốc tế số 1 châu Á, đạt hơn 40 giải vàng chất lượng từ năm 1991.Bia cao cấp quốc tế số 1 của châu ÁVào năm 1932 mẻ bia Tiger đầu tiên...",https://salt.tikicdn.com/cache/280x280/ts/product/f9/5f/ae/2f66618bdf2c6c903a872b608e48dde2.jpg,373000,,417000,,44000,11,1929,,available,,1000,1000,,151683,Tiger Beer
15973974,1231755070744,Thùng 48 Hộp Sữa Nestlé Milo Ít Đường (180ml/ Hộp),BỘ SẢN PHẨM GỒM:Thùng 48 Hộp Sữa Nestlé Milo Ít Đường (180ml/ Hộp)  THÔNG TIN CHI TIẾTMILO ÍT ĐƯỜNG :THƠM NGON ĐẬM VỊ - 95% BÉ THÍCH TỪ LẦN THỬ ĐẦU TIÊN*Với công thức mới giảm 25% đường so với d...,https://salt.tikicdn.com/cache/280x280/ts/product/48/03/61/073d87a75f113993d6944bd00dff42c0.jpg,329500,,450000,,120500,27,1207,,available,,1000,1000,,33574,MILO
