id,sku,name,short_description,image,price,product_link,list_price,price_usd,discount,discount_rate,review_count,order_count,inventory_status,is_visible,stock_item_qty,stock_item_max_sale_qty,product_name,brand_id,brand_name
113568856,9850649549101,Tai nghe chụp tai không dây Remax RB-660HB - Hàng chính hãng," Sự ra đời của chiếc #tai_nghe_Bluetooth chụp tai thế hệ mới Remax RB-660HB mang đến những trải nghiệm âm thanh sống động, kịch tính hơn hẳn các dòng headphone thường.------------------------------️...",https://salt.tikicdn.com/cache/280x280/ts/product/8b/7b/4d/b552547d3f21139e0bf413c60d7d7105.jpg,563500,,700000,,136500,20,265,,available,,1000,1000,,111454,Remax
273908702,5539928883181,Bộ sạc nhanh IP công suất 20W chuẩn PD iCybernet IC-3001 (C to L cho IP14 trở xuống) - Hàng chính hãng,BỘ SẠC NHANH IP CHUẨN PD20W ICYBERNET IC-3001 Bộ sạc nhanh iCybernet IC-3001 là sản phẩm bộ sưu tập phụ kiện điện thoại nhà iCybernet năm 2024. Bộ sạc là sự kết hợp của mã củ sạc nhanh nhỏ gọn IC-20...,https://salt.tikicdn.com/cache/280x280/ts/product/b3/8b/f0/7ebcf9a5968a5e9c1e4139ba32f60016.jpg,192000,,300000,,108000,36,6,,available,,1000,1000,,5213195,iCybernet
110850007,7491719637488,Tai nghe nhét tai có dây jack 3.5mm Remax RM-512 (New Package) - Hàng chính hãng,"Thay đổi thói quen nghe nhạc không an toàn bằng chiếc #tai_nghe có dây Remax #RM_512 không chỉ mang đến những âm thanh sống động nhất, mà hơn thế còn đảm bảo an toàn cho bạn. Thiết kế hiện đại, cao c...",https://salt.tikicdn.com/cache/280x280/ts/product/a5/9c/63/a5b10d91facf564be71d7961f42488bb.jpg,103550,,150000,,46450,31,992,,available,,1000,1000,,111454,Remax
273908828,4302635868162,"Bộ sạc nhanh IP, Android chuẩn PD 20W iCybernet IC-3002 cáp C to C 1,2m (Cáp hỗ trợ sạc tối đa 100W cho mọi thiết bị typeC) - Hàng chính hãng",BỘ SẠC NHANH CHUẨN PD 20W C TO C ICYBERNET IC-3002 Bộ sạc nhanh iCybernet IC-3002 là sản phẩm bộ sưu tập phụ kiện điện thoại nhà iCybernet năm 2024. Bộ sạc là sự kết hợp của mã củ sạc nhanh nhỏ gọn ...,https://salt.tikicdn.com/cache/280x280/ts/product/e7/8d/a4/0f494edbf05357cf0211c59313df26fe.jpg,189000,,300000,,111000,37,0,,available,,1000,1000,,5213195,iCybernet
201437484,6053135616080,"Giá Đỡ Máy Tính, Laptop, iPad, Macbook Hợp Kim Nhôm Cao Cấp. Hỗ Trợ Tản Nhiệt Chống Mỏi Cổ, Vai, Gáy. Hàng Chính Hãng Tamayoko","Mô tả sản phẩm:Thiết kế công thái học giúp giảm đau cổ, đau lưng khi học tập, làm việcTạo góc nghiêng thay đổi tùy ý giúp bạn làm việc với tư thế vô cùng thoải máiĐược làm bằng hợp ...",https://salt.tikicdn.com/cache/280x280/ts/product/9d/33/31/8578818cd00ee4672322072afefa2fc2.jpg,391000,,489000,,98000,20,867,,available,,1000,1000,,4244853,Tamayoko
109393113,2753989323988,Tai nghe bluetooth nhét tai chống ồn cao cấp V5.0 chính hãng dùng cho iPhone Samsung OPPO VIVO HUAWEI XIAOMI tai nghe không dây Hàng Chính Hãng PKCB,Tai nghe bluetooth nhét tai chống ồn cao cấp chính hãng PKCBPhạm vi truyền: 10 métKênh: âm thanh nổiMàu: đen Cảm ứng thông minhChip Bluetooth 5.0 mới mượt mà và không bị trễGiảm tiến...,https://salt.tikicdn.com/cache/280x280/ts/product/90/55/ea/340eb77f1170e4c381c866c275138a82.jpg,280000,,500000,,220000,44,1211,,available,,1000,1000,,500047,PKCB
123836523,9189782407730,Adapter Sạc 1 Cổng USB Type-C 20W - Trắng,"Bộ Sạc Apple USB-C 20WBộ Sạc Apple USB-C 20W giúp sạc nhanh và hiệu quả tại nhà, trong văn phòng hoặc khi đang di chuyển. Mặc dù bộ sạc này tương thích với mọi thiết bị có cổng USB‑C, Apple khuyên bạ...",https://salt.tikicdn.com/cache/280x280/ts/product/14/9b/5e/061d21940b5615ef4f17675c7b39526c.jpg,450000,,790000,,340000,43,3091,,available,,1000,1000,,17827,Apple
73179180,6431304737240,Thẻ Nhớ microSD SanDisk Ultra 128GB UHS-I - 100MB/s (New 2020) - Hàng Nhập Khẩu,"Thẻ Nhớ microSD SanDisk Ultra 128GB UHS-I - 100MB/s cung cấp thêm 64GB dữ liệu cho điện thoại, máy tính  bảng có hỗ trợ khe thẻ cắm micro SD. Bạn có thể thưởng thức thoải mái các bộ phim, bài hát mà ...",https://salt.tikicdn.com/cache/280x280/ts/product/2d/59/84/1ec9c569287d0532dd40cecf4094071f.jpg,229000,,229000,,0,0,1245,,available,,1000,1000,,18845,SanDisk
110850007,7491719637488,Tai nghe nhét tai có dây jack 3.5mm Remax RM-512 (New Package) - Hàng chính hãng,"Thay đổi thói quen nghe nhạc không an toàn bằng chiếc #tai_nghe có dây Remax #RM_512 không chỉ mang đến những âm thanh sống động nhất, mà hơn thế còn đảm bảo an toàn cho bạn. Thiết kế hiện đại, cao c...",https://salt.tikicdn.com/cache/280x280/ts/product/a5/9c/63/a5b10d91facf564be71d7961f42488bb.jpg,103550,,150000,,46450,31,992,,available,,1000,1000,,111454,Remax
73315307,1804693412350,Thẻ Nhớ microSD SanDisk Ultra 64GB UHS-I - 100MB/s (New 2020) - Hàng Nhập Khẩu,"Thẻ Nhớ microSD SanDisk Ultra 64GB UHS-I - 100MB/s cung cấp thêm 64GB dữ liệu cho điện thoại, máy tính  bảng có hỗ trợ khe thẻ cắm micro SD. Bạn có thể thưởng thức thoải mái các bộ phim, bài hát mà b...",https://salt.tikicdn.com/cache/280x280/ts/product/84/dd/fe/87c6c9fcfac09ce59881fe6d8c40e29d.jpg,135000,,135000,,0,0,981,,available,,1000,1000,,18845,SanDisk
273908414,4667409843489,"Cáp sạc nhanh IP chuẩn PD 20W iCybernet IC-1003 TypeC to IP chiều dài 1,2m - Hàng chính hãng",CÁP SẠC NHANH IP CHUẨN PD 20W C TO L  ICYBERNET IC-1003 Nếu bạn đang tìm kiếm 1 chiếc cáp sạc siêu nhanh chuẩn PD 20W để sạc nhanh cho chiếc IP của mình thì không nên bỏ qua sản phẩm này. Hãy cùng i...,https://salt.tikicdn.com/cache/280x280/ts/product/cf/8d/2c/40ea244d8a13203b316b317150221a3b.jpg,95000,,150000,,55000,37,6,,available,,1000,1000,,5213195,iCybernet
273906522,4034962079830,"Cáp sạc USB to IP iCybernet IC-1001 sạc 2.4A và truyền dữ liệu đồng thời, chiều dài 1,2m - Hàng chính hãng",CÁP SẠC VÀ TRUYỀN DỮ LIỆU USB TO IP CÔNG SUẤT 2.4A ICYBERNET IC-1001 Cáp sạc và truyền dữ liệu USB to TypeC iCybernet IC-1001 là một trong những sản phẩm thuộc series phụ kiện mới nhất nhà iCybernet...,https://salt.tikicdn.com/cache/280x280/ts/product/c7/70/d0/051cbfb2214c825a944168e09a35c34a.jpg,55000,,100000,,45000,45,0,,available,,1000,1000,,5213195,iCybernet
273906695,9400164681486,Cáp sạc và truyền dữ liệu 2.4A iCybernet IC-1002 USB to TypeC - Hàng chính hãng,CÁP SẠC VÀ TRUYỀN DỮ LIỆU USB TO TYPEC CÔNG SUẤT 2.4A ICYBERNET IC-1002 Cáp sạc và truyền dữ liệu USB to TypeC iCybernet IC-1002 là một trong những sản phẩm thuộc series phụ kiện mới nhất nhà iCyber...,https://salt.tikicdn.com/cache/280x280/ts/product/8b/04/1b/b3d1426362432fa294914c66b8e0fd33.jpg,58000,,100000,,42000,42,8,,available,,1000,1000,,5213195,iCybernet
273891515,7079361814904,Cáp sạc siêu nhanh PD 100W iCybernet IC-1004 C to C chiều dài 1m - Hàng chính hãng,"CÁP SẠC NHANH CHUẨN PD 100W C TO C  ICYBERNET IC-1004Nếu bạn đang tìm kiếm 1 chiếc cáp sạc siêu nhanh chuẩn PD 100W để có thể sử dụng với cả điện thoại, laptop, tablet… thì không thể bỏ qua mẫu Cáp s...",https://salt.tikicdn.com/cache/280x280/ts/product/e7/7a/a8/3ec3f7bac0dbfdfc434b7f9b6bf917a5.jpg,95000,,150000,,55000,37,3,,available,,1000,1000,,5213195,iCybernet
273900797,6193207895107,Củ sạc nhanh PD 20W nhỏ gọn iCybernet IC-2001 - Hàng chính hãng,CỦ SẠC NHANH CHUẨN PD20W ICYBERNET IC-2001 Củ sạc nhanh iCybernet IC-2001 là sản phẩm củ sạc đầu tiên trong bộ sưu tập phụ kiện điện thoại nhà iCybernet năm 2024. Sở hữu công suất sạc nhanh chuẩn PD...,https://salt.tikicdn.com/cache/280x280/ts/product/cc/bc/a9/17abf090fe040542ce281f07baeea3f3.jpg,158000,,200000,,42000,21,5,,available,,1000,1000,,5213195,iCybernet
142439870,7712347894123,Cáp sạc Baseus Cafule sạc nhanh dùng cho iPhone - Hàng chính hãng,"Cáp sạc và truyền dữ liệu tốc độ cao Baseus Cafule cho iPhone -  sạc nhanh 2.4A/1.5A cho iPhone/ iPad, dài 100cm/200cmThương hiệu: BaseusCáp 1m sạc nhanh 2.4ACáp 2m sạc nhanh 1.5ADùng sạc pin và ...",https://salt.tikicdn.com/cache/280x280/ts/product/78/50/05/d15c3197cd240610f509c25ef6acc012.jpg,68000,,68000,,0,0,54,,available,,1000,1000,,21651,Baseus
143957287,1227080592247,"HUB Type C và HUB USB 3.0 tốc độ cao 4 in 1 Sidotech bộ chia cổng usb mở rộng kết nối chuyển đổi cho Macbook Pro Laptop PC máy tính hỗ trợ sạc pin kết nối đa năng ổ cứng bàn phím chuột máy in, thiết bị ổ chia usb - Hàng chính hãng",HUB Type C và HUB USB 3.0 tốc độ cao SIDOTECH cổng chia usb mở rộng kết nối chuyển đổi cho Macbook Laptop PC• Tốc độ truyền tải 3.0 nhanh gấp 10 lần 2.0 thông thườngPHIÊN BẢN 1:• 1 cổng USB ...,https://salt.tikicdn.com/cache/280x280/ts/product/40/5d/5c/bb91bfb359ad3dc8f8d333a008dc0135.jpg,399000,,399000,,0,0,570,,available,,1000,1000,,4888937,Sido Tech
1935009,1838886022699,Tai Nghe Apple EarPods Cổng Lightning - MMTN2,"Apple EarPods LightningKhông giống như tai nghe nhét tai tròn truyền thống, EarPods được thiết kế theo hình dạng của tai. Chính vì vậy, tai nghe này đem đến cho người sử dụng cảm giác thoải mái hơn b...",https://salt.tikicdn.com/cache/280x280/ts/product/13/91/59/25f8eefb31aebceac7fd496b0698dccd.jpg,480000,,790000,,310000,39,1075,,available,,1000,1000,,17827,Apple
146266186,7697996532279,Miếng Lót Chuột Kai Hình Chữ Nhật Siêu Dễ thương Nhiều Mẫu Mới,"Hình Chữ Nhật,dày 3mm, kích thước 20 x 26 cmChất liệu mềm mại, chống trơn trượtMàu sắc tươi tắn, hình ảnh dễ thương góp phần tô điểm hơn cho bàn làm việc của bạnMẫu mới update liên tục...",https://salt.tikicdn.com/cache/280x280/ts/product/bd/f6/26/4f905a1fe5cf586c52ed4e6c6c128474.jpg,25000,,30000,,5000,17,353,,available,,1000,1000,,111461,OEM
72796676,6678243134918,"Giá Đỡ Laptop Hợp Kim Nhôm Cao Cấp Có Thể Gấp Gọn, Giúp Tản Nhiệt Laptop, Macbook, Máy Tính Xách Tay. 07 Vị Trí Điều Chỉnh Góc Độ. Hàng Chính Hãng Tamayoko FS060","BẠN CÓ BIẾT?Làm việc với máy tính thời gian dài sai tư thế, cúi đầu trong thời gian dài có thể gây nguy hại cho cột sống của bạn và làm tăng tốc độ thoái hóa cột sống. Thói quen dùng máy tính như th...",https://salt.tikicdn.com/cache/280x280/ts/product/47/ec/8e/52d864ac2db76167ffb0dae2de09e14f.jpg,175000,,250000,,75000,30,60,,available,,1000,1000,,4244853,Tamayoko
273380922,6652695762723,"Đầu đọc thẻ TF/SD 4 trong 1 (IOS , Type-C, USB, Micro USB) dùng xem ảnh/video của máy ảnh trên IOS  và các thiết bị Android- Hàng Chính Hãng","Mô tả sản phẩmĐầu đọc thẻ TF/SD 4 trong 1 (IOS , Type-C, USB, Micro USB) dùng xem ảnh/video của máy ảnh trên IOS và các thiết bị AndroidCAM KẾT VỚI KHÁCH HÀNG- Sản phẩm giống mô tả 100%- Đảm b...",https://salt.tikicdn.com/cache/280x280/ts/product/bc/02/bd/fe98d61777abe0b8289acf020e23209a.jpg,199000,,199000,,0,0,1,,available,,1000,1000,,5745605,DRU
145613865,4413607825923,"2 Bộ đàm Motorola XPR-368 + 2 Tai nghe chuyên dụng cho bộ đàm, phiên bản mới nhỏ gọn, liên lạc xa 2.5 km, pin dùng 12 giờ, xuyên phá vật cản tốt - Hàng nhập khẩu",Thiết kế nhỏ gọn Motorola XPR-368 chịu được va đập rất tốt. Dải tần số UHF 400 – 470 MHz với khả năng xuyên phá vật cản rất tốt (rất phù hợp cho các tòa nhà cao tầng) Công suất phát 05 Watt giúp cho...,https://salt.tikicdn.com/cache/280x280/ts/product/6f/d6/3d/e5eaca6868a05891f98e04cb5b99ca51.jpg,598000,,598000,,0,0,4,,available,,1000,1000,,28008,Motorola
102391960,4962871115329,"Giá Đỡ Máy Tính, Laptop, iPad, Macbook Hợp Kim Nhôm Cao Cấp. Hỗ Trợ Tản Nhiệt Chống Mỏi Cổ, Vai, Gáy. Hàng Chính Hãng Tamayoko","MÔ TẢ SẢN PHẨMChất liệu hợp kim nhôm độ bền cao, cứng cáp, chắc chắnCác đầu tiếp xúc được gắn silicon êm mềm, không gây trầy xước máyTương thích với hầu hết mọi Laptop dưới 17.3 inchKhả năng ...",https://salt.tikicdn.com/cache/280x280/ts/product/42/7b/ae/92e2352e8994a2684f90389c892a1af3.png,368000,,510000,,142000,28,259,,available,,1000,1000,,4244853,Tamayoko
